#mm9.knownGene.name	mm9.kgXref.geneSymbol
uc007aet.1	mKIAA1889
uc007aeu.1	Xkr4
uc007aev.1	AK149000
uc007aew.1	Rp1
uc007aex.2	Rp1
uc007aey.1	Sox17
uc007aez.1	Sox17
uc007afa.1	Sox17
uc007afb.1	Sox17
uc007afc.1	Sox17
uc007aff.2	Mrpl15
uc007afd.2	Mrpl15
uc007afe.2	Mrpl15
uc007afg.1	Lypla1
uc007afh.1	Lypla1
uc007afi.2	Tcea1
uc011wht.1	Tcea1
uc011whu.1	Tcea1
uc007afk.2	Rgs20
uc007afl.2	Rgs20
uc007afm.1	Atp6v1h
uc007afn.1	Atp6v1h
uc011whv.1	AB338584
uc007afo.1	Oprk1
uc007afp.1	Oprk1
uc007afq.1	Oprk1
uc011whw.1	Npbwr1
uc007afr.2	Rb1cc1
uc011whx.1	Rb1cc1
uc007afs.1	Rb1cc1
uc007aft.2	CC1
uc007afu.2	CC1
uc007afv.2	Fam150a
uc007afw.1	St18
uc007afx.1	St18
uc007afy.1	St18
uc007afz.1	St18
uc007aga.1	St18
uc007agb.1	Pcmtd1
uc007agc.1	Pcmtd1
uc011why.1	Pcmtd1
uc007agd.1	Pcmtd1
uc007age.1	AK043789
uc007agf.1	AK142999
uc007agg.1	Sntg1
uc007agh.1	Sntg1
uc007agi.1	Sntg1
uc007agj.1	Sntg1
uc011whz.1	Sntg1
uc011wia.1	AB338586
uc011wib.1	Sntg1
uc007agk.2	Rrs1
uc007agl.2	Adhfe1
uc007agm.2	Adhfe1
uc011wic.1	Adhfe1
uc007agn.2	2610203C22Rik
uc007ago.2	2610203C22Rik
uc007agp.1	3110035E14Rik
uc007agq.1	Mybl1
uc007agr.1	AK031819
uc007ags.1	Vcpip1
uc007agt.1	AK006607
uc007agu.1	Sgk3
uc007agv.1	Sgk3
uc011wid.1	Cisk
uc007agw.1	Sgk3
uc007agx.1	Sgk3
uc007agy.1	Sgk3
uc007agz.1	6030422M02Rik
uc011wie.1	6030422M02Rik
uc007aha.1	Snhg6
uc011wif.1	Snord87
uc007ahb.1	Lrrc67
uc007ahc.1	Lrrc67
uc007ahd.1	Lrrc67
uc007ahe.1	Cops5
uc007ahf.1	Cops5
uc007ahg.1	Cspp1
uc007ahh.1	Cspp1
uc007ahi.1	Cspp1
uc007ahj.1	Cspp1
uc007ahk.1	Cspp1
uc007ahl.1	Cspp1
uc007ahm.1	AK076931
uc011wig.1	Cspp1
uc011wih.1	Cspp1
uc007ahn.1	Arfgef1
uc007aho.1	AK134369
uc007ahp.1	Arfgef1
uc007ahq.1	Cpa6
uc007ahr.1	Cpa6
uc007ahs.2	Prex2
uc007aht.1	Prex2
uc007ahu.1	Prex2
uc007ahv.2	Prex2
uc011wii.1	A830018L16Rik
uc007ahy.2	A830018L16Rik
uc007ahw.2	A830018L16Rik
uc007ahx.2	A830018L16Rik
uc011wij.1	A830018L16Rik
uc011wik.1	A830018L16Rik
uc007ahz.1	A830018L16Rik
uc007aia.2	Sulf1
uc007aib.2	Sulf1
uc007aic.1	Sulf1
uc007aid.1	Sulf1
uc007aie.1	Sulf1
uc007aif.1	Slco5a1
uc007aig.1	Slco5a1
uc007aih.1	Slco5a1
uc007aii.1	Slco5a1
uc007aik.1	Prdm14
uc007ail.1	Ncoa2
uc007aim.1	Ncoa2
uc007ain.1	Ncoa2
uc007aio.1	Ncoa2
uc007aip.1	Ncoa2
uc007aiq.1	Ncoa2
uc007air.1	Ncoa2
uc007ais.1	AK171953
uc007ait.1	Tram1
uc007aiu.1	Lactb2
uc007aiv.1	Xkr9
uc011wil.1	Gm5523
uc007aiw.1	Eya1
uc007aix.1	Eya1
uc007aiy.1	Eya1
uc007aiz.1	Eya1
uc007aja.1	Msc
uc007ajb.1	AK080352
uc007ajc.1	Trpa1
uc007ajd.1	AK195788
uc007aje.1	Kcnb2
uc007ajf.1	Terf1
uc007ajg.1	Terf1
uc007ajh.1	Terf1
uc007aji.1	Terf1
uc007ajj.1	Gm106
uc007ajk.1	AK015384
uc007ajl.2	Rpl7
uc007ajm.1	Rdh10
uc007ajn.2	Stau2
uc007ajo.2	Stau2
uc007ajq.2	Stau2
uc007ajr.2	Stau2
uc007ajs.1	Ube2w
uc007ajt.1	Ube2w
uc007aju.1	Ube2w
uc007ajv.1	Tceb1
uc007ajw.1	Tceb1
uc007ajx.1	Tmem70
uc007ajy.1	Tmem70
uc007ajz.2	Ly96
uc011wim.1	Ly96
uc007aka.1	Jph1
uc007akb.2	Gdap1
uc007akc.2	Gdap1
uc007akd.1	AK135932
uc007ake.2	Pi15
uc007akf.1	AK038933
uc007akg.1	Crispld1
uc007akh.1	Crispld1
uc007aki.1	Crisp4
uc007akj.1	Crisp4
uc007akk.1	Crisp4
uc007akl.1	Defb49
uc007akm.1	Defb18
uc007akn.2	Defb41
uc007ako.1	Gm15386
uc007akp.1	Tcfap2d
uc007akq.1	Tcfap2b
uc007akr.1	Tcfap2b
uc007aks.1	Tcfap2b
uc007akt.1	Tcfap2b
uc007aku.1	Tcfap2b
uc007akv.1	Pkhd1
uc007akw.1	Pkhd1
uc007akx.1	Pkhd1
uc011win.1	Mir206
uc007aky.1	Il17a
uc007akz.1	Il17f
uc007ala.1	Il17f
uc007alb.1	AK205147
uc007alc.1	Mcm3
uc007ald.1	Paqr8
uc007ale.1	Paqr8
uc007alf.2	Efhc1
uc007alg.1	Tram2
uc007alh.1	AK138554
uc007ali.1	Tmem14a
uc007alj.1	Tmem14a
uc007alk.1	Gsta3
uc007all.1	Gsta3
uc007alm.1	Gm4956
uc007aln.1	Khdc1a
uc007alo.1	Khdc1c
uc007alp.2	Khdc1b
uc011wio.1	Kcnq5
uc007alq.2	Kcnq5
uc009uzv.1	Kcnq5
uc007alr.1	Rims1
uc007als.1	Rims1
uc007alt.1	Rims1
uc007alu.1	Rims1
uc007alv.1	Rims1
uc007alw.1	Rims1
uc007alx.1	mKIAA0340
uc007aly.1	Rims1
uc007alz.1	4933415F23Rik
uc011wip.1	Mir30a
uc007ama.2	Mir30c-2
uc007amb.1	Ogfrl1
uc007amc.1	AK090150
uc007amd.1	B3gat2
uc007ame.1	B3gat2
uc007amf.1	Smap1
uc007amg.1	Smap1
uc007amh.1	Smap1
uc007ami.1	Smap1
uc007amj.2	1110058L19Rik
uc011wiq.1	Fam135a
uc007amk.2	Fam135a
uc007aml.2	Fam135a
uc007amn.2	Fam135a
uc007amo.2	Col9a1
uc007amp.2	Col9a1
uc011wir.1	Col19a1
uc007amq.1	Col19a1
uc007amr.1	Col19a1
uc007ams.1	Atpase6
uc007amt.1	Lmbrd1
uc007amu.1	Lmbrd1
uc007amv.2	Bai3
uc007amw.2	Bai3
uc011wis.1	Bai3
uc007amy.1	Bai3
uc011wit.1	AB349959
uc007amz.2	4931408C20Rik
uc007ana.1	AK050085
uc007anb.1	Gm597
uc007anc.1	AK087209
uc007and.1	AK188812
uc007ane.1	Phf3
uc007anf.1	Phf3
uc007ang.1	Phf3
uc007anh.1	Ptp4a1
uc007ani.1	Ptp4a1
uc007anj.2	4931428L18Rik
uc007ank.1	Lgsn
uc007anl.2	4931428L18Rik
uc007anm.1	4930521A18Rik
uc011wiu.1	Gm4850
uc007ann.1	Slm1
uc007ano.1	Khdrbs2
uc007anp.1	Khdrbs2
uc011wiv.1	Gm9839
uc011wiw.1	Gm5415
uc007anq.1	Prim2
uc007anr.1	Prim2
uc007ans.1	DQ714940
uc007ant.2	1700001G17Rik
uc007anu.1	Rab23
uc007anv.1	Rab23
uc007anw.2	Rab23
uc007anx.2	Rab23
uc011wix.1	Rab23
uc007any.1	Bag2
uc007anz.1	Zfp451
uc007aoa.1	Znf451
uc007aob.1	Zfp451
uc011wiy.1	Gm15455
uc007aoc.1	Bend6
uc007aod.1	Bend6
uc011wiz.1	Bend6
uc007aoe.1	Bend6
uc007aof.1	Bpag1
uc007aog.1	Bpag1
uc007aoh.1	Bpag1
uc007aoi.1	Dst
uc007aoj.1	Dst
uc007aok.1	Dst
uc007aol.1	Dst
uc007aom.1	Bpag1
uc007aon.1	Dst
uc007aoo.1	Bpag1
uc007aop.1	Bpag1
uc011wja.1	Ccdc115
uc007aor.2	Imp4
uc007aos.1	Ptpn18
uc007aot.1	Ptpn18
uc007aou.1	AK016244
uc007aov.1	Prss39
uc007aow.1	Cfc1
uc011wjb.1	Tesp2
uc007aox.1	Prss40
uc011wjc.1	Fam123c
uc007aoz.1	DQ558230
uc007apa.1	DQ551615
uc007apb.1	DQ713197
uc007apc.1	DQ540165
uc007apd.1	DQ688885
uc011wjd.1	AA619741
uc007ape.1	AK082264
uc007apf.1	mKIAA1112
uc007apg.1	Arhgef4
uc007aph.1	Arhgef4
uc007api.1	Arhgef4
uc011wje.1	Fam168b
uc007apj.2	Fam168b
uc011wjf.1	Fam168b
uc007apk.1	Plekhb2
uc007apl.1	Plekhb2
uc007apm.1	AK003327
uc007apn.2	Hs6st1
uc007apo.2	Ugcgl1
uc007app.2	Uggt1
uc007apq.2	Uggt1
uc007apr.2	Uggt1
uc007aps.1	Neurl3
uc007apt.1	Neurl3
uc007apv.2	Arid5a
uc007apx.2	Arid5a
uc011wjg.1	Arid5a
uc007apu.2	Arid5a
uc007apw.2	Arid5a
uc007apy.2	Arid5a
uc011wjh.1	Arid5a
uc011wji.1	Kiaa1310
uc007apz.1	4632411B12Rik
uc007aqa.1	4632411B12Rik
uc011wjj.1	Kiaa1310
uc007aqb.1	AK132955
uc007aqc.1	Lman2l
uc007aqd.1	Lman2l
uc007aqe.1	Lman2l
uc007aqf.1	Lman2l
uc007aqg.2	Cnnm4
uc007aqi.1	Cnnm3
uc007aqj.1	Cnnm3
uc007aqk.1	Cnnm3
uc011wjk.1	Acdp3
uc007aql.1	Ankrd23
uc011wjl.1	Ankrd23
uc007aqm.1	Ankrd23
uc007aqn.1	Ankrd23
uc007aqo.1	Ankrd39
uc011wjm.1	Ankrd39
uc007aqp.1	Ankrd39
uc007aqq.2	Sema4c
uc007aqr.2	Sema4c
uc007aqs.2	mKIAA1739
uc007aqu.2	Fam178b
uc011wjn.1	Fam178b
uc007aqv.2	Fam178b
uc007aqw.1	Cox5b
uc007aqx.1	Actr1b
uc007aqy.1	AK016893
uc007aqz.1	Zap70
uc007ara.1	Zap70
uc007arb.1	Zap70
uc007arc.1	Tmem131
uc007ard.1	Tmem131
uc007are.1	Vwa3b
uc011wjo.1	Vwa3b
uc007arf.1	Vwa3b
uc011wjp.1	4921511C04Rik
uc007arh.2	4921511C04Rik
uc007ari.1	Cnga3
uc007arj.1	AK051424
uc007ark.1	Inpp4a
